collection,record_id,reference,field,fr_value,en_value
products,ra6tjkbv46mhqyr,PROD-ROBE-001,name,Robe Kiki Atelier,
products,ra6tjkbv46mhqyr,PROD-ROBE-001,summary,<p>Robe rouge legere inspiree de Kiki.</p>,
products,ra6tjkbv46mhqyr,PROD-ROBE-001,description,"<p>Coton doux, coupe ample, finitions contrastees et poche discrete.</p>",
products,aokhsveaq4ov77j,PROD-ROBE-002,name,Robe Chihiro Voyage,
products,aokhsveaq4ov77j,PROD-ROBE-002,summary,<p>Robe fluide pensée pour les journées de voyage.</p>,
products,aokhsveaq4ov77j,PROD-ROBE-002,description,"<p>Viscose souple, imprimé discret et ceinture ton sur ton.</p>",
products,2pfmr3pdw53mhyy,PROD-ACCESS-001,name,Raf et Clauey,
products,2pfmr3pdw53mhyy,PROD-ACCESS-001,summary,Raf et ClauEy sont assis et se parlent,
products,2pfmr3pdw53mhyy,PROD-ACCESS-001,description,"<p>Grand volume, anses renforcées et doublure légère.</p>",
products,zrxpv4mnf6ajy99,PROD-ACCESS-002,name,Carnet Calcifer,
products,zrxpv4mnf6ajy99,PROD-ACCESS-002,summary,<p>Carnet rigide au format bureau.</p>,
products,zrxpv4mnf6ajy99,PROD-ACCESS-002,description,"<p>Papier ivoire, couverture mate et signet textile.</p>",
products,18kkhhi1gppqyca,PROD-DECO-001,name,Plaid Laputa Horizon,
products,18kkhhi1gppqyca,PROD-DECO-001,summary,<p>Plaid moelleux en maille fine.</p>,
products,18kkhhi1gppqyca,PROD-DECO-001,description,"<p>Texture douce, grand format et palette bleu ciel.</p>",
products,ygv33ikqtz0bu9h,PROD-DECO-002,name,Lampe Noiraude,
products,ygv33ikqtz0bu9h,PROD-DECO-002,summary,<p>Lampe d’appoint avec abat-jour illustré.</p>,
products,ygv33ikqtz0bu9h,PROD-DECO-002,description,"<p>Lumière chaude, câble textile et silhouette compacte.</p>",
products,dshqxca78v0bikg,RALPH-LAUREN,name,Nike air Max,
products,p8s9043xuha0spo,CANAPE-BLANC,name,Canapé blanc de chez blanc,
products,p8s9043xuha0spo,CANAPE-BLANC,summary,C'est plus un canap',
products,1ly7a88p4f5o7f1,SAC-VERT,name,sac vert,
products,idm1nhna6j6vjfu,ROBE-A-PAILLETTE,name,Robe à paillette,
products,idm1nhna6j6vjfu,ROBE-A-PAILLETTE,summary,"Robe courte à fines bretelles entièrement recouverte de sequins, offrant un effet scintillant et élégant. Sa coupe ajustée met en valeur la silhouette avec un décolleté délicat et une ligne fluide. Le tissu noir pailleté capte la lumière pour un rendu sophistiqué, idéal pour une tenue de soirée.

Portée avec des accessoires raffinés, dont un sac à main structuré et des bijoux discrets, cette robe incarne un style chic et féminin, parfait pour des occasions spéciales ou des événements nocturnes.

Couleur : noir avec sequins
Coupe : courte, ajustée
Bretelles : fines
Matière : textile à sequins (aspect brillant)
Style : soirée / élégant / féminin",
products,etmg79lvr22zogq,BOUQUET-BLANC,name,Bouquet blanc,
products,x0h6322gvakh5eo,KAWAII,name,Kawaii,
products,x0h6322gvakh5eo,KAWAII,summary,"Ce somptueux arrangement mêle avec élégance des hortensias rose poudré, des roses aux nuances pêche, corail et jaune tendre, ainsi que de fines marguerites blanches au cœur doré. Des touches de fleurs champêtres et de feuillage vert frais viennent structurer l’ensemble, apportant légèreté et naturel à la composition.

Chaque fleur est soigneusement sélectionnée pour créer un équilibre harmonieux entre volumes généreux et détails délicats. Les textures douces des pétales contrastent subtilement avec la finesse des petites fleurs, offrant un rendu visuel riche et sophistiqué.

Style & ambiance :

Esprit romantique et printanier
Palette pastel lumineuse
Inspiration jardin chic et naturel
Effet “fraîchement cueilli” haut de gamme

Utilisation idéale :
Parfait pour sublimer une table, célébrer un événement spécial ou offrir une attention élégante, ce bouquet incarne à la fois douceur, fraîcheur et raffinement.

Détails visuels :

Composition dense et équilibrée
Dégradés subtils de roses, blancs et jaunes
Fleurs secondaires apportant finesse et mouvement
Rendu naturel avec une touche sophistiquée

Un bouquet qui évoque instantanément la douceur d’un matin de printemps, entre poésie florale et élégance intemporelle.",
products,secys25ybfpvvs5,FLORAL-VIRAL,name,Sakura Lumière,
products,secys25ybfpvvs5,FLORAL-VIRAL,summary,"Un bouquet lumineux et délicat qui capture l’essence d’un printemps japonais en pleine floraison. Composé d’hortensias vert tendre aux nuances rosées, de roses ivoire et crème, et de fleurs fines aux accents poudrés, cet arrangement évoque une promenade sous les cerisiers en fleurs.

L’ensemble est enveloppé dans un papier pastel élégant, mettant en valeur la douceur des textures et la subtilité des couleurs. Chaque élément semble baigné dans une lumière dorée, créant un effet presque irréel, entre poésie et raffinement.

Style & ambiance :

Inspiration sakura / printemps japonais
Palette pastel : rose, crème, vert tendre
Lumière chaude et dorée
Atmosphère romantique et aérienne

Points forts :

Composition ronde et généreuse
Contraste subtil entre fleurs volumineuses et détails délicats
Effet “bouquet couture” avec finition soignée
Idéal pour un cadeau élégant ou une occasion spéciale",
products,9nvaelfmvnpuzwu,MUGUET-ETERNEL,name,Muguet Éternel,
products,9nvaelfmvnpuzwu,MUGUET-ETERNEL,summary,"Une interprétation d’exception du muguet, fleur emblématique des premiers jours lumineux, ici sublimée dans une composition d’une pureté absolue.

Ce bouquet met en scène une profusion de délicates clochettes ivoire, parfaitement formées, épanouies en nuées légères au-dessus d’un écrin de tiges vert tendre. Liées à la main par un lien discret, elles dessinent une silhouette architecturée, à la fois dense et aérienne, signature d’un savoir-faire floral exigeant.

La lumière, douce et dorée, caresse chaque inflorescence et révèle la finesse des textures, tandis que quelques pétales semblent suspendus dans l’air, comme portés par une brise printanière. L’arrière-plan, inspiré d’un jardin japonais en pleine floraison, enveloppe la composition dans une atmosphère poétique et contemplative.

Intention créative
Évoquer l’instant fragile où le printemps s’installe, entre fraîcheur végétale et élégance silencieuse. Un hommage à la simplicité noble, où chaque détail compte et où la nature s’exprime avec retenue.

Palette & matières

Blanc nacré, vert chlorophylle, nuances rosées diffuses
Texture satinée des clochettes, fraîcheur croquante des tiges
Lumière chaude, reflets délicats, rendu presque pictural

Signature
Un bouquet rare, intemporel, qui incarne à la fois la délicatesse, la chance et l’élégance naturelle — pensé comme une pièce florale d’exception, entre art et émotion.",
products,a7qwafv849knvej,ROSES-INCANDESCENTES,name,Roses Incandescentes,
